Gaia source ID,RA,DEC,photometric G-band flux (Flux[e^- s^-1]),Parallax(mas),astrometric wobble [e](mas),wobble signifigance,Companion mass (Msun),Companion mass (Msun)[Temp based],Orbital period(days),DM(pc cm^-3),Mass function,Sky Temperature(K),Orbital Separation,Effective temperature[K]
5540664496553000064,122.20422089006492,-39.29059884,14.727682,0.12109068627443106,0.18725313,13.012546,14.850783473937232,2.68,1578.9620266386137,325.2994,12.402221705315958,453.2661376953125,16.403619079721864,10009.0625
5596207047990957184,121.36954928234269,-30.60187381,15.449251,0.13811170220759997,0.2334315,10.152178,13.965119868865413,2.68,1691.997706540305,293.5722,11.536181972029578,294.7933288574219,16.859535881682838,10030.427
5644399329829209472,125.97280399378113,-29.56972983,14.178923,0.12182345929540438,0.17515686,18.455435,14.63997577156049,2.68,1394.6341284082548,269.1505,12.195894477654477,359.3183837890625,15.035177023807476,10120.13
5596965711011064064,119.87509219098392,-30.34201986,14.799229,0.13350062811770452,0.23801698,19.71397,14.064937621036155,2.68,1846.8296862145876,293.1178,11.633679255242615,327.4249512,17.911600993131245,10138.67
5602182756253185152,118.75173843532725,-25.58749067,14.850107,0.13449348665792515,0.19566654,15.994284,14.019251940207324,2.68,1356.7063202704696,198.3141,11.589052023605234,304.5131469726563,14.568408736962722,10316.245
5715262819874763008,116.13079637627064,-20.82717007,14.493962,0.10479712364860228,0.17479151,12.517207,16.055656693338925,2.68,1918.3937091866499,209.673,13.583504666932395,386.33379516601565,19.128063686723877,10350.316
2927506956585496704,107.56260844205562,-23.62518458,15.075855,0.13146931266569745,0.20389298,14.73924,14.263984754412078,2.68,1520.4924392601845,139.1748,11.828184615757262,322.35576782226565,15.801223327774876,10435.831
5643080156391949696,126.90832774343463,-31.81282082,14.530806,0.10724447365856622,0.16910341,12.989204,15.856751017817697,2.68,1740.665129025002,309.0887,13.388272853017309,395.75689086914065,17.859266357636045,10456.407
5618287337418523136,113.15094571943375,-23.99643679,15.3812895,0.13070331760547732,0.18864831,10.161505,14.393944542116444,2.68,1378.1013721496863,186.9924,11.955238866826468,383.5175415039063,14.839459984920616,10501.197
5546448992876894080,124.27542815491312,-33.87862058,14.735495,0.11693383149126046,0.1958785,13.629338,15.15249211237073,2.68,1817.9065721936083,342.8469,12.697710483091468,293.80217895507815,18.130201061949904,10533.137
5617710334327700480,109.5890241176888,-24.09000385,15.176068,0.1292645092236438,0.17632106,10.336433,14.42979462252775,2.68,1269.3961730696142,155.5629,11.99029557222199,316.44402465820315,14.059083185915188,10586.063
5546451020101371520,124.32945868733715,-33.83018848,14.0064,0.12161741547493336,0.16430467,16.905012,14.602976472320702,2.68,1266.9228576866576,337.2041,12.159693356083068,296.80278930664065,14.09183298844321,10619.346
5597518937162664960,120.90237632979711,-29.18305252,15.574613,0.13725607964356756,0.24078065,10.739765,14.047197848341215,2.68,1800.1220564382272,277.1767,11.616349759261741,320.1080566,17.601580081893445,10696.896
5602076374187288832,118.76536487142438,-26.27890974,15.256546,0.12450982877919042,0.2077713,11.491052,14.764434051483656,2.75,1759.240063888537,222.9559,12.317693842692218,346.79509887695315,17.59829890378286,10750.622
5612745249058627072,111.16743504424778,-27.51047516,14.392995,0.13139585074249005,0.16390066,12.794735,14.080819281785214,2.75,1082.0585569862576,154.0298,11.649194384895587,329.73943481445315,12.54581676331548,10757.7295
5619537825730558464,111.88442146765138,-22.14301379,14.903841,0.13511582286981236,0.24751464,19.606989,13.996753978982197,2.75,1913.7081246239845,179.9587,11.567077530583761,371.0979858398438,18.31445395034149,10794.977
5711647385124399232,119.1539069658061,-21.31993786,13.634902,0.09854874,0.13295941,12.816407,16.341908756609385,2.75,1421.553725957088,191.1025,13.864610108948119,323.41167602539065,15.748628915291714,10846.325
2967380092922704000,86.84083744987201,-19.0902184,13.991322,0.1163455626324353,0.122451395,10.867144,14.972882596406443,2.75,894.1774120461503,62.0216,12.521776920674842,243.25736389160156,11.256186924154058,10887.703
3461684855360436864,184.23653594394017,-36.3985264,13.016175,0.10937089999658961,0.11764978,13.259672,15.194372290152872,2.75,938.1774735635347,73.2932,12.738744625307293,245.09420166015624,11.674655149393503,10892.737
5546906802024355584,125.7434463072045,-33.18653385,14.159883,0.11310245543886821,0.18510813,18.815683,15.268883265913026,2.75,1769.6815375414142,332.1516,12.811760578230038,353.35137329101565,17.849773070002747,10901.232
5599642265905477760,114.03557494324055,-28.93832022,15.452062,0.13775090398980172,0.25126594,12.5845175,13.986736636314163,2.75,1900.060167408187,186.8228,11.55729374168975,346.4027954101563,18.223321054088544,10914.741
5547053071431509760,124.2363478300737,-33.05531149,15.71092,0.13991341710841992,0.25550342,10.914291,13.928752308014323,2.75,1895.0829382072964,314.0566,11.50066711766262,308.4865966796875,18.16860294531183,10967.0205
2930515632716592000,110.20121475388235,-19.57545199,14.97813,0.12058519775532552,0.20837834,13.165218,14.958217563985112,2.75,1879.3034453922373,184.9769,12.507415484870272,393.1878601074219,18.463344964887543,10968.538
5714432890450991360,119.87863806653067,-18.62570923,14.107468,0.12270321563886585,0.18651861,18.474442,14.558872019787913,2.75,1507.291,154.6296,12.116545044315215,301.66094360351565,15.807599302338833,11166.557
5614441039586388736,117.41961916198404,-25.22735874,14.991586,0.10735723806494417,0.16203582,10.0178175,15.98921275,2.75,1644.2864715104683,223.7794,13.51827889,358.1813903808594,17.23767732332808,11194.164
5697559033407059456,120.82984397515972,-25.24925304,13.658107,0.12055223283745298,0.20993017,39.680344,14.571355680303057,2.75,1849.8466044939878,193.8723,12.128757552273338,291.6477905273438,18.12472902585279,11259.582
5543455675543953792,126.37663597732944,-34.85050921,12.708668,0.11385685985948911,0.13988629,25.404345,14.748247834249222,2.75,1110.1435327943934,349.4747,12.30185117884076,350.02092895507815,12.942803020261614,11341.906
5698479255915576192,118.71264399356477,-25.03609504,14.188481,0.12139057941140968,0.12519507,11.003168,14.672609893274714,2.75,849.2361823,206.8509,12.22782754673613,304.08489379882815,10.808901973271741,11403.19
5596200347842115072,121.23743358672334,-30.71567759,14.44526,0.10662895582799276,0.18202502,14.39539,15.882174944983024,2.75,1964.0698628619034,325.7591,13.41322261151094,291.6856628417969,19.36590829355919,11606.138
5697476638750135168,120.94458937337434,-25.8616963,14.699825,0.12665236894232149,0.14922437,10.709455,14.466721220699267,2.75,1021.7825901667175,218.6257,12.026408602784368,302.9530273,12.174987206277368,11627.885
